frame,t_ms,scale,rot,tx,ty
51,2040,0.8249460818546085,7.071246376079377,162.0,-32.0
52,2080,0.8249460818546085,6.877124626494772,157.0,-34.0
53,2120,0.8249460818546085,6.6709380634526445,153.0,-34.0
54,2160,0.8249460818546085,6.453048408247234,148.0,-35.0
55,2200,0.8249460818546085,6.223837913373177,142.0,-36.0
56,2240,0.8249460818546085,5.983708691924727,137.0,-36.0
57,2280,0.8249460818546085,5.733082012152769,131.0,-36.0
58,2320,0.8249460818546085,5.472397558417134,125.0,-35.0
59,2360,0.8249460818546085,5.202112659830851,119.0,-35.0
60,2400,0.8249460818546085,4.922701487949464,113.0,-34.0
61,2440,0.8249460818546085,4.634654224913007,106.0,-33.0
62,2480,0.8249460818546085,4.338476203499965,99.0,-32.0
63,2520,0.8249460818546085,4.034687020601865,92.0,-30.0
64,2560,0.8249460818546085,3.7238196256737703,85.0,-28.0
65,2600,0.8249460818546085,3.4064193857598286,78.0,-27.0
66,2640,0.8249460818546085,3.0830431287341797,70.0,-24.0
67,2680,0.8249460818546085,2.754258166435636,63.0,-22.0
68,2720,0.8249460818546085,2.4206412994099504,55.0,-20.0
69,2760,0.8249460818546085,2.082777805005659,48.0,-17.0
70,2800,0.8249460818546085,1.7412604105987377,40.0,-14.0
71,2840,0.8249460818546085,1.3966882537473557,32.0,-12.0
72,2880,0.8249460818546085,1.0496658311010505,24.0,-9.0
73,2920,0.8249460818546085,0.7008019379081443,16.0,-6.0
74,2960,0.8249460818546085,0.35070859998204845,8.0,-3.0
75,3000,0.8249460818546085,1.0256416942859084e-15,0.0,0.0
76,3040,0.8249460818546085,-0.3507085999820427,-8.0,3.0
77,3080,0.8249460818546085,-0.7008019379081422,-16.0,6.0
78,3120,0.8249460818546085,-1.0496658311010447,-24.0,9.0
79,3160,0.8249460818546085,-1.3966882537473573,-32.0,12.0
80,3200,0.8249460818546085,-1.7412604105987324,-40.0,15.0
81,3240,0.8249460818546085,-2.082777805005657,-48.0,18.0
82,3280,0.8249460818546085,-2.4206412994099447,-56.0,20.0
83,3320,0.8249460818546085,-2.754258166435638,-63.0,23.0
84,3360,0.8249460818546085,-3.0830431287341775,-71.0,25.0
85,3400,0.8249460818546085,-3.4064193857598273,-78.0,27.0
86,3440,0.8249460818546085,-3.723819625673765,-86.0,29.0
87,3480,0.8249460818546085,-4.034687020601863,-93.0,31.0
88,3520,0.8249460818546085,-4.338476203499961,-100.0,32.0
89,3560,0.8249460818546085,-4.634654224913009,-106.0,33.0
90,3600,0.8249460818546085,-4.922701487949461,-113.0,34.0
91,3640,0.8249460818546085,-5.202112659830849,-119.0,35.0
92,3680,0.8249460818546085,-5.47239755841713,-126.0,36.0
93,3720,0.8249460818546085,-5.7330820121527655,-132.0,36.0
94,3760,0.8249460818546085,-5.983708691924729,-137.0,36.0
95,3800,0.8249460818546085,-6.223837913373178,-143.0,36.0
96,3840,0.8249460818546085,-6.453048408247236,-148.0,36.0
97,3880,0.8249460818546085,-6.67093806345264,-153.0,35.0
98,3920,0.8249460818546085,-6.877124626494769,-158.0,34.0
99,3960,0.8249460818546085,-7.071246376079378,-162.0,33.0
100,4000,0.8249460818546085,-7.252962756694675,-166.0,31.0
101,4040,0.8249460818546085,-7.421954976061421,-170.0,30.0
